"Environment and Climate Change Canada"
"Monthly Values for June - 2016"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"FANNY ISLAND","50.454","-125.993","BC","12.9","0",NA,"19.7","0","7.3","0","",,NA,"52.6","0",NA,"","9","",,NA,"152.2","0.0","1022795"
"HERIOT BAY SE","50.099","-125.203","BC","16.3","3",NA,"30.0","3","7.0","3","0.0","3",NA,"80.2","3",NA,"0.0","13","","",NA,"56.6","11.7","1023462"
"NANAIMO A","49.054","-123.870","BC","18.6","24",NA,"32.5","24","11.0","24","0.0","24",NA,"19.2","24",NA,"","2","","",NA,"9.0","12.3","1025369"
"NANAIMO CITY YARD","49.199","-123.988","BC","",,NA,"",,"",,"0.0","0",NA,"55.8","0","119.0","0.0","12","","",NA,"","","10253G0"
"PORT HARDY A","50.681","-127.367","BC","12.3","0",NA,"20.6","0","2.8","0","0.0","0",NA,"114.4","0",NA,"","15","",,NA,"171.3","0.0","1026271"
"QUALICUM BEACH AIRPORT","49.337","-124.394","BC","15.8","0",NA,"29.8","0","4.2","0","",,NA,"36.4","0",NA,"","8","",,NA,"77.8","11.4","1026562"
"QUALICUM R FISH RESEARCH","49.394","-124.617","BC","16.1","1","1.2","28.0","1","6.5","1","0.0","1",NA,"42.0","1",NA,"","10","","",NA,"61.9","6.3","1026565"
"QUINSAM RIVER HATCHERY","50.016","-125.304","BC","15.8","0","1.0","31.0","0","4.5","0","0.0","0",NA,"80.2","0","128.0","0.0","16","","",NA,"74.9","9.5","1026639"
"SISTERS ISLAND","49.487","-124.435","BC","16.4","0",NA,"24.6","0","9.5","0","",,NA,"",,NA,"","","",,NA,"59.4","11.7","1027403"
"ENTRANCE ISLAND","49.209","-123.809","BC","16.1","1",NA,"24.5","1","9.0","1","0.0","1",NA,"32.0","1",NA,"0.0","7","","",NA,"61.7","6.7","102BFHH"
"CAPE BEALE LIGHT","48.786","-125.216","BC","13.9","0","1.2","24.5","0","7.0","0","0.0","0",NA,"71.8","0","69.0","0.0","10","","",NA,"126.3","3.0","1031316"
"CAPE SCOTT","50.782","-128.427","BC","12.3","16","0.6","17.0","16","9.0","16","0.0","16",NA,"79.0","16",NA,"","6","","",NA,"79.4","0.0","1031353"
"CARMANAH POINT","48.612","-124.751","BC","",,NA,"",,"",,"0.0","0",NA,"74.0","0","68.0","0.0","9","","",NA,"","","1031402"
"CONUMA RIVER HATCHERY","49.800","-126.418","BC","",,NA,"",,"",,"0.0","29",NA,"0.0","29",NA,"","0","","",NA,"","","1031844"
"ESTEVAN POINT","49.383","-126.543","BC","13.8","0","1.0","20.5","0","6.0","0","0.0","0",NA,"132.2","0","92.0","0.0","13","","",NA,"125.2","0.0","1032730"
"ESTEVAN POINT CS","49.383","-126.543","BC","13.3","0",NA,"19.7","0","5.9","0","",,NA,"99.1","0",NA,"","11","",,NA,"141.4","0.0","1032731"
"GOLD RIVER TOWNSITE","49.779","-126.055","BC","16.7","13","1.6","34.0","13","5.0","13","0.0","13",NA,"82.2","13",NA,"","8","","",NA,"36.9","15.3","1033232"
"LENNARD ISLAND","49.111","-125.923","BC","13.4","0",NA,"20.0","0","8.0","0","0.0","0",NA,"81.2","0","64.0","0.0","9","","",NA,"136.7","0.0","1034600"
"NITINAT RIVER HATCHERY","48.859","-124.655","BC","15.6","9","1.5","31.5","9","4.0","9","",,NA,"48.4","24",NA,"","6","","",NA,"55.4","5.8","1035612"
"NOOTKA LIGHTSTATION","49.600","-126.617","BC","14.4","0","0.6","24.5","0","5.5","0","0.0","0",NA,"104.0","0","71.0","0.0","11","","",NA,"112.0","2.6","1035614"
"PACHENA POINT","48.723","-125.097","BC","13.6","0","1.1","26.5","0","5.5","0","0.0","0",NA,"76.0","0","64.0","0.0","10","","",NA,"132.8","1.8","1035940"
"PORT ALBERNI COX LAKE","49.202","-124.752","BC","15.8","4","1.2","33.5","4","4.0","4","0.0","4",NA,"44.0","4",NA,"0.0","6","","",NA,"70.4","13.3","1036208"
"QUATSINO","50.534","-127.653","BC","13.6","6","0.3","25.0","6","6.0","6","0.0","6",NA,"63.0","6",NA,"","10","","",NA,"105.4","0.0","1036570"
"PORT ALBERNI (AUT)","49.317","-124.927","BC","16.0","1",NA,"34.5","1","3.2","1","",,NA,"38.6","1",NA,"","7","",,NA,"74.9","16.6","1036B06"
"SARTINE ISLAND (AUT)","50.821","-128.908","BC","11.8","1",NA,"15.7","1","8.4","0","",,NA,"45.0","1",NA,"","10","",,NA,"180.4","0.0","1037090"
"SOLANDER ISLAND (AUT)","50.112","-127.940","BC","12.1","1",NA,"16.6","1","8.3","0","",,NA,"71.2","1",NA,"","11","",,NA,"172.4","0.0","1037553"
"TAHSIS VILLAGE NORTH","49.932","-126.654","BC","13.4","18",NA,"23.5","18","5.0","18","",,NA,"79.4","23",NA,"","7","","",NA,"55.2","0.0","1037899"
"TOFINO A","49.082","-125.773","BC","13.8","0","0.9","27.5","0","5.0","0","0.0","0",NA,"99.2","0","77.0","0.0","13","","",NA,"129.9","3.0","1038205"
"UCLUELET KENNEDY CAMP","48.945","-125.527","BC","14.4","12","1.3","29.0","12","4.0","12","0.0","23",NA,"79.4","18",NA,"0.0","6","","",NA,"67.4","3.3","1038332"
"ZEBALLOS MURAUDE CREEK","50.053","-126.779","BC","14.5","0",NA,"31.0","0","4.0","0","0.0","0",NA,"188.4","0",NA,"0.0","17","","",NA,"112.8","7.2","1039035"
"GIBSONS GOWER POINT","49.386","-123.541","BC","15.8","2","0.5","26.0","2","7.5","2","0.0","2",NA,"82.0","2",NA,"0.0","13","","",NA,"68.4","7.9","1043152"
"MERRY ISLAND LIGHTSTATION","49.468","-123.913","BC","16.9","0","0.9","26.5","0","9.0","0","0.0","0",NA,"79.6","0","148.0","0.0","12","","",NA,"50.0","15.9","1045100"
"HOWE SOUND - PAM ROCKS","49.488","-123.299","BC","16.6","0",NA,"26.6","0","9.4","0","",,NA,"59.8","0",NA,"","10","",,NA,"54.1","12.5","10459NN"
"PENDER HARBOUR","49.634","-124.032","BC","",,NA,"",,"",,"0.0","0",NA,"77.4","0",NA,"0.0","10","","",NA,"","","1046115"
"PORT MELLON","49.526","-123.496","BC","16.3","0",NA,"30.2","0","6.5","0","",,NA,"108.7","0",NA,"","14","",,NA,"70.2","19.6","1046332"
"POWELL RIVER A","49.834","-124.500","BC","15.6","0","0.6","30.0","0","4.5","0","0.0","0",NA,"90.4","0","134.0","0.0","12","","",NA,"79.6","6.5","1046391"
"POWELL RIVER","49.835","-124.497","BC","15.4","0",NA,"29.6","0","4.9","0","",,NA,"71.9","0",NA,"","8","",,NA,"84.9","6.3","1046392"
"SECHELT AUT","49.458","-123.715","BC","15.6","0",NA,"31.4","0","6.2","0","",,NA,"87.6","0",NA,"","13","",,NA,"82.0","9.7","1047172"
"SQUAMISH AIRPORT","49.783","-123.161","BC","16.4","0",NA,"33.4","0","4.4","0","",,NA,"48.6","0",NA,"","12","",,NA,"68.4","21.5","10476F0"
"WHISTLER","50.129","-122.955","BC","14.0","3","0.4","32.5","3","1.0","3","0.0","3",NA,"76.6","3",NA,"0.0","10","","",NA,"118.9","10.2","1048898"
"CAPE ST JAMES","51.936","-131.016","BC","11.6","1",NA,"16.9","1","7.7","0","",,NA,"9.1","25",NA,"","2","",,NA,"185.6","0.0","1051351"
"KINDAKUN ROCKS (AUT)","53.316","-132.772","BC","11.5","0",NA,"16.7","0","8.3","0","",,NA,"41.2","0",NA,"","12","",,NA,"194.2","0.0","1054222"
"LANGARA","54.255","-133.058","BC","11.6","0","0.8","17.0","0","7.0","0","0.0","0",NA,"91.8","0","97.0","0.0","17","",,NA,"191.6","0.0","1054500"
"LANGARA ISLAND RCS","54.255","-133.058","BC","11.5","1",NA,"16.1","1","6.5","0","",,NA,"81.7","2",NA,"","13","",,NA,"189.9","0.0","1054503"
"MASSET A","54.000","-132.167","BC","12.1","18",NA,"17.8","18","4.5","18","0.0","18",NA,"33.6","18",NA,"","5","","",NA,"71.3","0.0","1054925"
"ROSE SPIT (AUT)","54.159","-131.661","BC","12.7","0",NA,"17.6","0","5.9","0","",,NA,"",,NA,"","","",,NA,"160.4","0.0","1056869"
"SANDSPIT A","53.254","-131.813","BC","13.3","0","1.1","21.0","0","7.0","0","0.0","0",NA,"49.6","0","96.0","0.0","12","","",NA,"140.3","0.0","1057050"
"SANDSPIT AIRPORT AUTO","53.249","-131.813","BC","13.2","0",NA,"21.1","0","5.9","0","",,NA,"41.0","0",NA,"","10","",,NA,"143.8","0.0","1057051"
"SANDSPIT","53.254","-131.814","BC","13.4","4",NA,"20.5","4","6.0","4","",,NA,"41.6","4",NA,"","10","",,NA,"118.6","0.0","1057052"
"ADDENBROKE ISLAND","51.604","-127.864","BC","13.6","0","0.6","20.5","0","7.0","0","0.0","0",NA,"153.4","0","97.0","0.0","16","","",NA,"132.2","0.0","1060080"
"BELLA BELLA","52.185","-128.157","BC","13.3","5",NA,"24.1","5","5.8","5","",,NA,"104.4","5",NA,"","11","",,NA,"117.7","0.0","1060815"
"BELLA COOLA A","52.388","-126.596","BC","15.7","0","0.6","29.0","0","6.0","0","0.0","0",NA,"92.4","0","181.0","0.0","14","","",NA,"80.5","10.5","1060841"
"BELLA COOLA AIRPORT","52.389","-126.587","BC","15.2","1",NA,"28.5","1","5.3","0","",,NA,"72.6","7",NA,"","9","",,NA,"86.2","6.1","1060844"
"BOAT BLUFF","52.643","-128.524","BC","13.6","0","0.7","24.0","0","7.5","0","0.0","0",NA,"175.4","0","78.0","0.0","14","","",NA,"133.4","0.3","1060901"
"BONILLA ISLAND","53.493","-130.638","BC","12.5","0","0.7","17.0","0","8.0","0","0.0","0",NA,"126.2","0","128.0","0.0","13","","",NA,"165.8","0.0","1060902"
"BONILLA ISLAND (AUT)","53.493","-130.639","BC","11.7","17",NA,"16.1","14","8.2","11","",,NA,"52.0","17",NA,"","9","",,NA,"82.0","0.0","1060R0K"
"CATHEDRAL POINT (AUT)","52.187","-127.471","BC","14.0","1",NA,"24.0","1","7.5","0","",,NA,"124.2","1",NA,"","12","",,NA,"117.7","1.5","1061458"
"CUMSHEWA ISLAND","53.030","-131.602","BC","12.9","2",NA,"17.2","2","8.2","0","",,NA,"31.8","2",NA,"","6","",,NA,"142.3","0.0","1062251"
"DRYAD POINT","52.185","-128.112","BC","13.8","0","0.3","23.0","0","7.0","0","0.0","0",NA,"114.2","0","80.0","0.0","16","","",NA,"126.6","0.0","1062544"
"EGG ISLAND","51.247","-127.835","BC","13.4","21","1.3","17.0","21","10.5","21","0.0","21",NA,"30.0","21",NA,"0.0","6","","",NA,"41.4","0.0","1062646"
"GREEN ISLAND","54.569","-130.708","BC","15.0","29","2.1","20.0","29","10.0","29","0.0","29",NA,"0.0","29",NA,"","0","","",NA,"3.0","0.0","1063298"
"GREY ISLET (AUT)","54.580","-130.698","BC","13.2","0",NA,"19.0","0","8.5","0","",,NA,"75.2","0",NA,"","10","",,NA,"145.1","0.0","1063303"
"HERBERT ISLAND (AUT)","50.940","-127.632","BC","12.5","0",NA,"17.7","0","8.6","0","",,NA,"73.0","0",NA,"","13","",,NA,"166.3","0.0","1063461"
"HOLLAND ROCK","54.172","-130.361","BC","12.0","1",NA,"17.5","1","8.2","0","",,NA,"78.8","1",NA,"","11","",,NA,"174.9","0.0","1063496"
"IVORY ISLAND","52.270","-128.407","BC","13.1","0","0.5","19.0","0","8.5","0","0.0","0",NA,"95.2","0","74.0","0.0","14","","",NA,"146.2","0.0","1063690"
"KITIMAT TOWNSITE","54.054","-128.634","BC","16.1","0","1.6","29.0","0","7.0","0","0.0","0",NA,"73.8","0","101.0","0.0","9","","",NA,"70.1","12.8","1064320"
"LUCY ISLAND LIGHTSTATION","54.296","-130.609","BC","12.5","1",NA,"17.4","1","8.3","0","",,NA,"",,NA,"","","",,NA,"159.4","0.0","1064728"
"MCINNES ISLAND","52.262","-128.719","BC","13.2","0","0.7","18.0","0","9.0","0","0.0","0",NA,"71.2","0","57.0","0.0","12","",,NA,"142.7","0.0","1065010"
"PRINCE RUPERT","54.286","-130.445","BC","12.3","4",NA,"21.6","4","6.3","4","",,NA,"102.1","4",NA,"","11","",,NA,"149.4","0.0","1066482"
"PRINCE RUPERT MONT CIRC","54.320","-130.290","BC","",,NA,"",,"",,"0.0","12",NA,"90.8","12",NA,"0.0","10","","",NA,"","","1066488"
"STEWART A","55.936","-129.985","BC","13.8","18","-0.2","23.6","18","6.3","18","0.0","18",NA,"45.8","18",NA,"","8","","",NA,"50.7","0.0","1067742"
"TERRACE PCC","54.502","-128.625","BC","15.9","1","1.3","30.5","1","7.5","1","0.0","1",NA,"53.4","1",NA,"0.0","7","","",NA,"72.2","12.0","1068131"
"TERRACE A","54.469","-128.578","BC","14.8","2",NA,"30.1","1","6.7","1","0.0","0",NA,"44.0","0",NA,"","12","",,NA,"95.5","6.5","1068134"
"TRIPLE ISLAND","54.295","-130.880","BC","12.6","0",NA,"17.0","0","8.5","0","0.0","0",NA,"85.4","0",NA,"0.0","11","","",NA,"161.3","0.0","1068250"
"KITIMAT HATCHERY","54.044","-128.682","BC","15.3","15",NA,"27.5","15","7.0","15","0.0","15",NA,"19.8","15",NA,"","3","","",NA,"44.3","4.3","106D289"
"EQUITY SILVER","54.199","-126.277","BC","10.1","0","0.6","23.5","0","0.0","0","4.2","0","646.0","74.6","0","104.0","0.0","12","","",NA,"237.7","0.0","1072692"
"HOUSTON","54.396","-126.668","BC","13.8","8",NA,"29.0","8","2.5","8","0.0","12",NA,"74.2","12",NA,"","10","","",NA,"95.1","2.5","1073615"
"SMITHERS","54.825","-127.183","BC","13.7","6",NA,"27.7","6","2.9","5","",,NA,"35.9","6",NA,"","8","",,NA,"105.2","1.7","1077499"
"SMITHERS A","54.825","-127.183","BC","13.7","2","0.7","28.0","2","3.5","2","0.0","2",NA,"61.2","2",NA,"0.0","12","","",NA,"119.9","0.0","1077500"
"SMITHERS AIRPORT AUTO","54.824","-127.189","BC","14.1","0",NA,"28.5","0","3.5","0","",,NA,"36.4","0",NA,"","9","",,NA,"120.5","2.7","1077501"
"TOPLEY LANDING","54.816","-126.163","BC","12.0","17","-0.4","24.0","15","3.0","15","0.0","15",NA,"23.4","15",NA,"","4","","",NA,"77.7","0.0","1078209"
"SUSKWA VALLEY","55.289","-127.171","BC","11.9","0","-0.7","27.0","0","-0.5","0","0.0","0",NA,"50.0","0","66.0","0.0","11","","",NA,"183.4","0.0","107G879"
"OOTSA LAKESKINS LAKE CLIMATE","53.772","-125.997","BC","12.1","0",NA,"26.1","0","3.4","0","",,NA,"58.9","0",NA,"","8","",,NA,"178.5","0.0","1085836"
"PEMBERTON AIRPORT CS","50.306","-122.734","BC","17.0","0",NA,"35.6","0","3.6","0","",,NA,"41.6","0",NA,"","9","",,NA,"64.5","34.1","1086082"
"PUNTZI MOUNTAIN (AUT)","52.114","-124.136","BC","13.1","0",NA,"30.9","0","-2.4","0","",,NA,"94.5","0",NA,"","10","",,NA,"148.2","0.5","1086558"
"TATLAYOKO LAKE RCS","51.675","-124.403","BC","12.4","0",NA,"29.3","0","-2.9","0","",,NA,"52.1","0",NA,"","7","",,NA,"167.3","0.0","1088015"
"BURNS LAKE DECKER LAKE","54.383","-125.959","BC","12.2","0",NA,"27.7","0","-1.0","0","",,NA,"64.2","0",NA,"","9","",,NA,"172.9","0.0","1091174"
"FORT ST JAMES","54.455","-124.286","BC","13.7","13","0.4","26.0","13","4.5","13","0.0","13",NA,"44.6","13",NA,"","7","","",NA,"74.6","2.3","1092970"
"FORT ST JAMES AUTO","54.455","-124.286","BC","14.1","0",NA,"27.0","0","4.4","0","",,NA,"72.2","1",NA,"","8","",,NA,"118.9","3.0","1092975"
"HORSEFLY LAKE GRUHS LAKE","52.363","-121.364","BC","18.3","28","4.8","28.5","28","9.0","28","0.0","28",NA,"0.0","28",NA,"","0","","",NA,"0.2","0.8","1093600"
"MCLEESE LAKE GRANITE MT","52.531","-122.286","BC","13.2","15",NA,"27.0","11","3.0","10","0.0","11",NA,"87.0","11",NA,"0.0","11","","",NA,"73.7","1.8","1095018"
"PRINCE GEORGE","53.884","-122.678","BC","13.8","4",NA,"27.8","4","2.8","4","",,NA,"94.6","4",NA,"","10","",,NA,"111.3","3.0","1096439"
"PRINCE GEORGE AIRPORT AUTO","53.889","-122.672","BC","13.8","0",NA,"27.9","0","2.6","0","",,NA,"92.2","0",NA,"","11","",,NA,"129.2","2.9","1096453"
"PRINCE GEORGE STP","53.880","-122.768","BC","15.6","2","1.0","29.5","2","5.5","2","0.0","2",NA,"106.0","2",NA,"0.0","9","","",NA,"78.0","10.4","1096468"
"QUESNEL","53.026","-122.510","BC","14.9","4",NA,"29.4","4","4.0","4","",,NA,"68.1","4",NA,"","11","",,NA,"85.0","5.5","1096629"
"QUESNEL AIRPORT AUTO","53.027","-122.506","BC","15.3","0",NA,"30.1","0","4.1","0","",,NA,"55.9","0",NA,"","11","",,NA,"91.5","10.9","1096631"
"SPOKIN LAKE 4E","52.184","-121.686","BC","11.8","0","0.4","29.0","0","-1.5","0","0.0","0","0.0","84.4","0","113.0","0.0","12","","",NA,"186.6","0.0","1097646"
"WILLIAMS LAKE A","52.183","-122.054","BC","14.0","0",NA,"29.4","0","2.0","0","0.0","0",NA,"83.4","1",NA,"","17","",,NA,"127.4","6.1","1098941"
"VANDERHOOF","54.033","-124.017","BC","14.9","0","0.5","29.5","0","4.0","0","0.0","0","0.0","114.8","0","201.0","0.0","15","","",NA,"99.0","5.1","1098D90"
"108 MILE HOUSE ABEL LAKE","51.623","-121.263","BC","14.6","0",NA,"32.0","0","1.5","0","0.0","0",NA,"35.8","0",NA,"0.0","7","","",NA,"116.8","13.9","109E7R6"
"ABBOTSFORD A","49.025","-122.360","BC","16.4","0",NA,"31.6","0","5.7","0","0.0","0",NA,"46.2","2",NA,"","9","",,NA,"66.0","18.9","1100031"
"AGASSIZ RCS","49.243","-121.760","BC","17.0","0","0.5","33.4","0","6.7","0","",,NA,"71.7","0",NA,"","10","",,NA,"61.3","30.8","1100119"
"AGASSIZ CDA","49.243","-121.760","BC","16.5","4","0.3","32.0","2","7.0","2","0.0","2",NA,"82.6","2",NA,"0.0","10","","",NA,"53.7","13.9","1100120"
"WHISTLER - NESTERS","50.129","-122.955","BC","14.1","1",NA,"32.6","1","1.2","1","",,NA,"64.0","2",NA,"","10","",,NA,"122.2","9.7","1100875"
"BLACKCOMB BASE SLIDING CENTER","50.102","-122.936","BC","12.5","2",NA,"29.6","2","1.8","0","",,NA,"44.6","2",NA,"","9","",,NA,"163.3","8.7","1100881"
"BURNABY SIMON FRASER U","49.278","-122.918","BC","18.3","28","3.9","26.0","28","13.0","28","0.0","28",NA,"1.4","28",NA,"","1","","",NA,"3.2","3.8","1101158"
"CALLAGHAN VALLEY","50.144","-123.111","BC","12.2","0",NA,"30.1","0","0.7","0","",,NA,"45.9","0",NA,"","13","",,NA,"176.5","2.7","1101300"
"CLOVERDALE EAST","49.109","-122.698","BC","16.8","0",NA,"31.0","0","7.0","0","0.0","0",NA,"51.7","0",NA,"0.0","7","","",NA,"59.0","23.2","1101708"
"COQUITLAM COMO LAKE AVE","49.269","-122.866","BC","",,NA,"",,"",,"0.0","17",NA,"48.8","17",NA,"","6","","",NA,"","","1101889"
"DELTA BURNS BOG","49.126","-123.002","BC","16.1","0",NA,"31.3","0","3.4","0","",,NA,"39.7","0",NA,"","6","",,NA,"68.6","11.6","1102415"
"DELTA TSAWWASSEN BEACH","49.011","-123.093","BC","15.6","0","-0.3","26.5","0","7.0","0","0.0","0",NA,"35.4","0","83.0","0.0","5","","",NA,"77.1","6.1","1102425"
"FORT LANGLEY TELEGRAPH TRAIL","49.145","-122.551","BC","16.4","0",NA,"32.0","0","5.5","0","0.0","0",NA,"57.4","0",NA,"0.0","10","","",NA,"66.0","18.6","1102912"
